Government_lag,CPI_lag,R2,Government_p,CPI_p,Sample_Size,Analysis_Type
0,0,0.29527172110411437,0.17597538558235803,0.006861371468876554,240,Overall
0,1,0.2755750126311941,0.09239429736865867,0.04376717322676904,234,Overall
0,2,0.26776124511321064,0.05227600701582502,0.1642444234853393,228,Overall
0,3,0.26304626784540275,0.036216564899826276,0.36849285760699413,222,Overall
0,4,0.2622199572574835,0.027505279413055472,0.6001846664770358,216,Overall
0,5,0.2621995872029491,0.01893309098446494,0.8963841608318281,210,Overall
0,6,0.25826089769671456,0.01646363012597285,0.9917569239774879,204,Overall
0,7,0.25269637347044804,0.021350377062493875,0.869124804678356,198,Overall
0,8,0.24381761943331337,0.0261769976288313,0.7060271022739526,192,Overall
1,0,0.2755117893126332,0.46437342362277123,0.006454260535187384,234,Overall
1,1,0.24791656846914756,0.15584716035866242,0.02258614905047729,234,Overall
1,2,0.2323226330384024,0.07493816294764533,0.09658144695519555,228,Overall
1,3,0.2233024161586038,0.045424928424163236,0.25347925389416304,222,Overall
1,4,0.22685297498296408,0.02995925805107902,0.6086041326504761,216,Overall
1,5,0.22696320463462138,0.019296375085153583,0.8881887263645225,210,Overall
1,6,0.23091206066757275,0.01470150631034528,0.9732888679529621,204,Overall
1,7,0.2258352475903539,0.020145297854236244,0.8150065409279432,198,Overall
1,8,0.22388886005556663,0.023856145551843566,0.5958489387265069,192,Overall
2,0,0.28326198069647146,1.684194132822725e-06,0.0005815511502853532,228,Overall
2,1,0.22588389236601836,0.1252047113593635,0.0007466081602285346,228,Overall
2,2,0.19346727209831205,0.5609299367294125,0.0017202127800650668,228,Overall
2,3,0.16627856537854124,0.22538871079608058,0.008469632527530635,222,Overall
2,4,0.1556485447789956,0.11826788289629642,0.08614481854033396,216,Overall
2,5,0.1533829723422766,0.06271417171951588,0.36812897442111625,210,Overall
2,6,0.154494060705052,0.0496205074448981,0.487027092741235,204,Overall
2,7,0.15814034010463862,0.06075384062068245,0.30248854341115683,198,Overall
2,8,0.15798667435187919,0.07964568090795487,0.13973479499628993,192,Overall
3,0,0.3276438902526376,0.0007040267091509289,0.0003798317944530005,222,Overall
3,1,0.2555789995739133,0.0003424842056605204,0.00029090684210419937,222,Overall
3,2,0.20268568415964539,0.0015501048050245991,0.00018016059345415947,222,Overall
3,3,0.15361485341383274,0.7220419601071457,6.096134536170972e-05,222,Overall
3,4,0.125109498166599,0.4939804342991352,0.0011713877813517293,216,Overall
3,5,0.11096483454383665,0.2172390895425389,0.03940672578733628,210,Overall
3,6,0.11111783598421943,0.1424712580233225,0.14020970787199194,204,Overall
3,7,0.11495664049304322,0.16300010788417274,0.04526753299628816,198,Overall
3,8,0.1220050898440086,0.18632913704084375,0.017265179783920725,192,Overall
4,0,0.3725325022544712,0.0010150107280477716,0.0005430936132577724,216,Overall
4,1,0.3065289275088974,0.0019656284906630628,0.0007791690360363646,216,Overall
4,2,0.24507366960929278,0.0019744294126236017,0.0007630652302903496,216,Overall
4,3,0.17567950108153474,0.0018862058365700651,0.00031618503420349775,216,Overall
4,4,0.13086153982650972,0.030982019383150705,7.534230912509265e-05,216,Overall
4,5,0.09736957226070897,0.6340731370515755,0.001802266981374645,210,Overall
4,6,0.08600812816901993,0.7652293958463072,0.009588978239330803,204,Overall
4,7,0.08713670514383376,0.5529744059562911,0.0013410170079639627,198,Overall
4,8,0.0935844377725702,0.5252465811639324,0.0007387494370207914,192,Overall
5,0,0.3892523876160817,0.005287780069827441,0.0019729224423050695,210,Overall
5,1,0.3364240325297403,0.007264563020321635,0.0024643930854209017,210,Overall
5,2,0.2903310808439219,0.013773135526164992,0.0040071591753838565,210,Overall
5,3,0.21889190056297003,0.018693889063660762,0.004508975313992858,210,Overall
5,4,0.1697901943993928,0.024694683553850183,0.004938188553023304,210,Overall
5,5,0.12324994048674165,0.01822852684322651,0.003953410571671201,210,Overall
5,6,0.0991514668554333,0.03943959047019785,0.007309565105147131,204,Overall
5,7,0.08935488615312381,0.2524980026518402,0.0008321602298160258,198,Overall
5,8,0.09033476500231064,0.6126032938111687,0.00020874168071394195,192,Overall
6,0,0.37242769048184143,0.006435544453802899,0.0033589597252496883,204,Overall
6,1,0.3375170776020099,0.011148683844072416,0.004621999813539945,204,Overall
6,2,0.30263433043959653,0.013937031602534677,0.005526657131727619,204,Overall
6,3,0.2453561973069085,0.022513604676690502,0.0077710490748577055,204,Overall
6,4,0.19866175850737444,0.02934080693658636,0.010202626421818017,204,Overall
6,5,0.1590097554653861,0.048117990517456466,0.01907286828193966,204,Overall
6,6,0.13535729263057783,0.03585155649984917,0.016039424974676475,204,Overall
6,7,0.11832795812655383,0.03969140703724139,0.005835586217959765,198,Overall
6,8,0.10879326326460526,0.06848283586710324,0.0015491372624762967,192,Overall
7,0,0.3474979028993864,0.0034941092883897795,0.004378255968753075,198,Overall
7,1,0.3141320719095092,0.00513408758299283,0.0050145870076745425,198,Overall
7,2,0.2950639924946892,0.008694877793937739,0.006083985650375157,198,Overall
7,3,0.24877106190424136,0.009610417210359712,0.006266906461750654,198,Overall
7,4,0.21453697115035264,0.014890221482628974,0.008794424481194385,198,Overall
7,5,0.17654044543033853,0.022509188950236236,0.01588389023777803,198,Overall
7,6,0.16957438786674994,0.04299229176514019,0.028289433640994677,198,Overall
7,7,0.15771785602235155,0.0254896182107196,0.008992809165037086,198,Overall
7,8,0.1436416876506218,0.024126215396991668,0.004509980323708529,192,Overall
8,0,0.2877042279813975,0.009235060800983685,0.013485204920274052,192,Overall
8,1,0.2517620890011103,0.014675094169866343,0.0174415380014199,192,Overall
8,2,0.22807482462350304,0.019170290627420705,0.020859059088143228,192,Overall
8,3,0.19533913405792702,0.02613307847314772,0.02561740747102248,192,Overall
8,4,0.1693626442063052,0.027980160791412967,0.03021625462019717,192,Overall
8,5,0.14335286808906267,0.04414128680933849,0.0481455635502992,192,Overall
8,6,0.13722126355993025,0.05928752480067501,0.061146538230633096,192,Overall
8,7,0.15019859419436077,0.0625623746401891,0.03921675969260141,192,Overall
8,8,0.14951044260559831,0.043502199116716156,0.02094731161060648,192,Overall
